SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,155 Parker Ave,San Francisco,CA,94118,1298000,3,1.0,San Francisco,1299,3100,1914,2,999,200,Active,November-16-2021 11:00 AM,November-16-2021 12:30 PM,http://www.redfin.com/CA/San-Francisco/155-Parker-Ave-94118/home/12433409,San Francisco MLS,421612013,N,Y,37.7826804,-122.4546333
MLS Listing,,Condo/Co-op,151 Alice B. Toklas Pl #509,San Francisco,CA,94109,998000,1,1.0,San Francisco,1337,25240,1920,2,746,885,Active,November-20-2021 11:00 AM,November-20-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/151-Alice-B-Toklas-94109/unit-509/home/574531,San Francisco MLS,421611997,N,Y,37.7851019,-122.4205839
MLS Listing,,Condo/Co-op,1938 Scott St,San Francisco,CA,94115,1995000,4,3.0,San Francisco,1968,2572,1890,3,1014,350,Active,November-20-2021 02:00 PM,November-20-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1938-Scott-St-94115/home/1657761,San Francisco MLS,421607501,N,Y,37.7878744,-122.4384597
MLS Listing,,Condo/Co-op,401 Harrison St Unit 46B,San Francisco,CA,94105,7900000,3,3.0,San Francisco,3214,56023,2014,5,2458,1900,Active,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-46B/home/144064341,San Francisco MLS,421610511,N,Y,37.7863747,-122.3919931
MLS Listing,,Condo/Co-op,10 Inca Ln #1,San Francisco,CA,94115,599000,2,1.0,San Francisco,840,,,10,713,754,Active,November-17-2021 04:30 PM,November-17-2021 06:00 PM,http://www.redfin.com/CA/San-Francisco/10-Inca-Ln-94115/unit-1/home/12401313,San Francisco MLS,421609286,N,Y,37.7829941,-122.4288754
MLS Listing,,Single Family Residential,836 48th Ave,SAN FRANCISCO,CA,94121,1498000,5,4.0,SAN FRANCISCO,2153,3598,1951,11,696,,Active,,,http://www.redfin.com/CA/San-Francisco/836-48th-Ave-94121/home/2033612,MLSListings,ML81869146,N,Y,37.7725806,-122.508654
MLS Listing,,Condo/Co-op,208 N Lake Merced Hls Unit 1A,SAN FRANCISCO,CA,94132,798000,2,2.0,SAN FRANCISCO,1320,,1975,18,605,910,Active,,,http://www.redfin.com/CA/San-Francisco/208-N-Lake-Merced-Hls-94132/unit-1A/home/1744740,MLSListings,ML81868448,N,Y,37.7133825,-122.4832983
MLS Listing,,Single Family Residential,773 Minna St,SAN FRANCISCO,CA,94103,1888000,2,2.5,SAN FRANCISCO,2520,1600,1906,31,749,,Active,,,http://www.redfin.com/CA/San-Francisco/773-Minna-St-94103/home/28945815,MLSListings,ML81867047,N,Y,37.7760888,-122.4135468
MLS Listing,,Condo/Co-op,1190 Sacramento St #2,San Francisco,CA,94108,1595000,2,2.0,San Francisco,,1470,1955,32,,,Active,,,http://www.redfin.com/CA/San-Francisco/1190-Sacramento-St-94108/unit-2/home/12399940,San Francisco MLS,421604010,N,Y,37.7926896,-122.4125054
MLS Listing,,Condo/Co-op,201 Harrison St #501,SAN FRANCISCO,CA,94105,475000,0,1.0,SAN FRANCISCO,432,,1991,37,1100,658,Active,,,http://www.redfin.com/CA/San-Francisco/201-Harrison-St-94105/unit-501/home/1438671,MLSListings,ML81866194,N,Y,37.7874798,-122.3905769
MLS Listing,,Single Family Residential,669 Marina Blvd,San Francisco,CA,94123,8898000,5,5.0,San Francisco,4752,4944,1931,66,1872,,Active,,,http://www.redfin.com/CA/San-Francisco/669-Marina-Blvd-94123/unit-669A/home/582205,San Francisco MLS,421593475,N,Y,37.8052133,-122.4449164
MLS Listing,,Condo/Co-op,461 2nd St Unit C118,San Francisco,CA,94107,750000,1,1.0,San Francisco,672,56167,1907,69,1116,651,Active,,,http://www.redfin.com/CA/San-Francisco/461-2nd-St-94107/unit-C118/home/1203053,San Francisco MLS,421589274,N,Y,37.783797,-122.3937191
MLS Listing,,Condo/Co-op,1328 Greenwich St,San Francisco,CA,94109,1595000,2,2.0,San Francisco,1465,,1886,1,1089,,Active,,,http://www.redfin.com/CA/San-Francisco/1328-Greenwich-St-94109/home/1898445,San Francisco MLS,421611175,N,Y,37.8010318,-122.4216578
MLS Listing,,Multi-Family (2-4 Unit),1126 - 1128 Hampshire St,San Francisco,CA,94110,1495000,4,2.0,San Francisco,2130,2696,1903,1,702,,Active,November-16-2021 02:00 PM,November-16-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/1126-Hampshire-St-94110/home/2017008,San Francisco MLS,421612151,N,Y,37.7540099,-122.4076744
MLS Listing,,Vacant Land,1056 - 1060 Potrero Ave,San Francisco,CA,94110,2400000,0,,San Francisco,,2500,,1,,,Active,,,http://www.redfin.com/CA/San-Francisco/1056-Potrero-Ave-94110/home/174696192,San Francisco MLS,421612129,N,Y,37.7551993,-122.4068903
MLS Listing,,Condo/Co-op,2184 Green St,San Francisco,CA,94123,3625000,3,3.0,San Francisco,2900,2600,1905,1,1250,1128,Active,,,http://www.redfin.com/CA/San-Francisco/2184-Green-St-94123/home/1804050,San Francisco MLS,421612091,N,Y,37.7963402,-122.4350471
MLS Listing,,Condo/Co-op,747 Filbert St Unit A&B,San Francisco,CA,94133,1750000,4,2.0,San Francisco,2106,3888,1908,1,831,481,Active,November-16-2021 04:00 PM,November-16-2021 05:00 PM,http://www.redfin.com/CA/San-Francisco/747-Filbert-St-94133/unit-A-B/home/102813612,San Francisco MLS,421610188,N,Y,37.800798,-122.412089
MLS Listing,,Townhouse,17 Bowman Ct,San Francisco,CA,94124,453728,2,2.0,San Francisco,1219,880,1992,1,372,65,Active,,,http://www.redfin.com/CA/San-Francisco/17-Bowman-Ct-94124/home/741389,San Francisco MLS,421612127,N,Y,37.7377823,-122.3822452
MLS Listing,,Multi-Family (5+ Unit),849 Noe St,San Francisco,CA,94114,3000000,0,,San Francisco,4854,2250,1960,1,618,,Active,,,http://www.redfin.com/CA/San-Francisco/849-Noe-St-94114/home/1447055,San Francisco MLS,421610816,N,Y,37.7555856,-122.43211
MLS Listing,,Multi-Family (2-4 Unit),3850 23rd St,San Francisco,CA,94114,3000000,4,3.0,San Francisco,3650,1524,1900,1,822,,Active,,,http://www.redfin.com/CA/San-Francisco/3850-23rd-St-94114/home/174714986,San Francisco MLS,421612095,N,Y,37.7533962,-122.4288565
MLS Listing,,Condo/Co-op,1177 California St #1012,San Francisco,CA,94108,998000,1,1.0,San Francisco,1056,31662,1978,1,945,1384,Active,November-16-2021 10:00 AM,November-16-2021 11:30 PM,http://www.redfin.com/CA/San-Francisco/1177-California-St-94108/unit-1012/home/1707260,San Francisco MLS,421611985,N,Y,37.7909986,-122.4137649
MLS Listing,,Condo/Co-op,1 Daniel Burnham Ct #206,San Francisco,CA,94109,658000,1,1.0,San Francisco,732,46157,1988,1,899,898,Active,November-20-2021 02:00 PM,November-20-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1-Daniel-Burnham-Ct-94109/unit-206/home/2023474,San Francisco MLS,421611196,N,Y,37.786783,-122.4219061
MLS Listing,,Multi-Family (2-4 Unit),160 - 162 Lexington St,San Francisco,CA,94110,950000,3,,San Francisco,1436,2000,1906,1,662,,Active,,,http://www.redfin.com/CA/San-Francisco/160-Lexington-St-94110/home/710664,San Francisco MLS,421608097,N,Y,37.7607634,-122.4209279
MLS Listing,,Condo/Co-op,690 Market St #1703,San Francisco,CA,94104,1595000,2,2.0,San Francisco,1431,11357,2007,1,1115,3098,Active,,,http://www.redfin.com/CA/San-Francisco/690-Market-St-94104/unit-1703/home/21967220,San Francisco MLS,421607592,N,Y,37.7883046,-122.4032778
MLS Listing,,Single Family Residential,2574 46th Ave,San Francisco,CA,94116,1550000,2,1.0,San Francisco,1248,3000,1942,1,1242,,Active,,,http://www.redfin.com/CA/San-Francisco/2574-46th-Ave-94116/home/664866,San Francisco MLS,421589407,N,Y,37.7385454,-122.5041975
